40 25 2
0 20 38 38
463 18 552 530
444 17 533 520
505 19 598 526
367 20 444 418
1 10 70 59
21 15 91 85
523 25 598 581
215 3 257 250
28 17 115 88
345 14 410 404
177 6 240 203
53 24 154 112
243 17 320 317
281 25 367 344
488 10 577 519
165 15 237 199
131 5 200 138
200 16 243 227
221 3 264 248
115 6 177 159
160 23 221 208
38 21 131 62
154 12 215 180
362 9 434 390
257 22 345 311
237 14 281 266
434 25 523 503
320 5 390 338
0 7 53 39
264 17 362 328
303 17 381 376
381 24 463 414
390 10 488 428
410 19 505 463
91 23 165 140
70 16 160 128
240 7 303 288
533 21 1000 865
0 1 28 6
