40 25 2
163 8 242 186
361 3 401 391
261 16 312 294
144 12 227 162
122 23 206 201
447 24 517 488
347 9 399 356
399 8 435 432
401 7 447 420
37 12 100 100
393 2 418 413
468 4 1000 539
0 7 71 71
396 9 425 405
227 7 271 263
435 21 517 506
312 14 393 373
186 21 254 250
100 19 198 130
83 22 163 143
206 12 267 228
287 18 361 361
0 17 37 26
330 23 396 378
46 1 122 97
295 17 384 379
30 25 84 62
267 8 330 290
242 6 287 273
84 22 186 144
71 16 144 115
384 3 410 396
198 15 261 222
0 13 46 36
410 10 468 432
17 9 83 47
425 21 513 503
418 12 489 445
254 4 295 281
271 17 347 316
